Time(sec), Queue Density, Dynamic Density
150.800000, 0.138950, 0.019320
151.000000, 0.140310, 0.018690
151.200000, 0.148430, 0.023820
151.400000, 0.171760, 0.033370
151.600000, 0.199930, 0.050500
151.800000, 0.227500, 0.066550
152.000000, 0.242460, 0.081440
152.200000, 0.252110, 0.093620
152.400000, 0.265250, 0.105050
152.600000, 0.269170, 0.111050
152.800000, 0.265310, 0.114270
153.000000, 0.250080, 0.104100
153.200000, 0.231560, 0.105230
153.400000, 0.226360, 0.105890
153.600000, 0.208670, 0.104430
153.800000, 0.197530, 0.096020
154.000000, 0.202520, 0.097330
154.200000, 0.219400, 0.095440
154.400000, 0.216500, 0.087560
154.600000, 0.204340, 0.076410
154.800000, 0.186120, 0.066340
155.000000, 0.184080, 0.057670
155.200000, 0.174850, 0.051520
155.400000, 0.161410, 0.048390
155.600000, 0.138880, 0.039820
155.800000, 0.129700, 0.032170
156.000000, 0.128050, 0.031000
156.200000, 0.136490, 0.028200
156.400000, 0.140850, 0.024490
156.600000, 0.137380, 0.021380
156.800000, 0.149070, 0.023500
157.000000, 0.149300, 0.020870
157.200000, 0.145110, 0.018030
157.400000, 0.146240, 0.016070
157.600000, 0.141140, 0.015170
157.800000, 0.137660, 0.014120
158.000000, 0.134040, 0.014060
158.200000, 0.133720, 0.016500
158.400000, 0.137260, 0.016420
158.600000, 0.139450, 0.016770
158.800000, 0.135480, 0.013890
159.000000, 0.158510, 0.036340
159.200000, 0.200550, 0.062250
159.400000, 0.227360, 0.074410
159.600000, 0.235340, 0.082230
159.800000, 0.264060, 0.109070
160.000000, 0.253580, 0.126200
160.200000, 0.239680, 0.132730
160.400000, 0.212930, 0.131120
160.600000, 0.191660, 0.127040
160.800000, 0.188890, 0.093110
161.000000, 0.177100, 0.060750
161.200000, 0.161440, 0.050050
161.400000, 0.139270, 0.037400
161.600000, 0.122550, 0.023460
161.800000, 0.107760, 0.014470
162.000000, 0.109160, 0.007140
162.200000, 0.130800, 0.017460
162.400000, 0.177260, 0.049640
162.600000, 0.192870, 0.051580
162.800000, 0.196980, 0.060300
163.000000, 0.192270, 0.051840
163.200000, 0.172700, 0.053740
